id,course,grade,points_earned,max_points
7798814,3225,a,4,4
7798814,3650,a,4,4
7798814,2590,b,3,4
2149193,3667,a,4,4
5062031,3620,b,3,4
7361386,3225,b,3,4
7361386,3350,b,3,4
5484525,3410,b,3,4
5484525,3171,b,3,4
5484525,3220,b,3,4
5849744,3410,w,0,0
5849744,3610,w,0,0
5849744,3810,a,4,4
1303047,3320,w,0,0
1303047,2820,b,3,4
1515716,3410,a,4,4
1515716,3620,w,0,0
3822320,3410,f,0,4
3822320,3140,b,3,4
9548347,3667,b,3,4
9548347,2531,c,2,4
2227757,2590,a,4,4
1802931,2600,a,4,4
1802931,3667,b,3,4
9339781,3610,w,0,0
9339781,3410,a,4,4
1134931,3810,a,4,4
1134931,2531,d,1,4
1134931,3410,f,0,4
7610387,3667,a,4,4
7610387,3220,d,1,4
1017158,3115,a,4,4
1017158,3220,b,3,4
1017158,2590,a,4,4
5422382,2820,a,4,4
5422382,3142,f,0,4
7541941,2600,a,4,4
7541941,3350,c,2,4
4008227,2820,d,1,4
9614903,3160,a,4,4
9614903,3810,b,3,4
9614903,2820,b,3,4
7556881,3810,a,4,4
7556881,2531,b,3,4
7556881,3620,b,3,4
8719106,3320,a,4,4
8719106,3310,a,4,4
3461094,3225,a,4,4
3461094,3667,w,0,0
3461094,3230,b,3,4
7847834,2531,d,1,4
7847834,3230,a,4,4
3829242,3410,b,3,4
3829242,3667,d,1,4
8173445,3610,a,4,4
8173445,3130,b,3,4
8173445,3230,a,4,4
8418791,3130,a,4,4
8418791,3610,b,3,4
4780951,2531,f,0,4
4780951,2820,a,4,4
8131408,3810,w,0,0
8131408,2820,b,3,4
3704367,3410,a,4,4
3704367,3230,a,4,4
5851717,3225,b,3,4
5851717,3810,b,3,4
5751616,3410,b,3,4
5751616,3130,b,3,4
5751616,3650,b,3,4
5126650,3140,d,1,4
5126650,3230,a,4,4
7486193,3220,b,3,4
7486193,3230,a,4,4
7486193,3350,a,4,4
4038541,3667,w,0,0
4038541,3220,a,4,4
4038541,3350,a,4,4
3965662,3810,b,3,4
3965662,3171,a,4,4
4695175,3115,b,3,4
4695175,3230,a,4,4
